model,type,condition,lam,seed,acc,firing_rate,spike_cost,delay_mean,delay_std,delay_max
syn_fixed,synaptic,fixed,0.2,1,83.26167076167076,0.2454393651463964,0.11996428496562518,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,0.2,2,82.64742014742015,0.23715707379965192,0.11559698186241664,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,0.3,0,83.36916461916462,0.2185100423576986,0.10696475895551535,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,0.3,1,84.44410319410319,0.2274517461353399,0.11164584412024571,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,0.3,2,82.60135135135135,0.21982634623259623,0.10788005962967873,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,0.5,0,83.12346437346437,0.19252842828624078,0.09463596773835328,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,0.5,1,84.02948402948402,0.19825554585124897,0.0979461965079491,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,0.5,2,81.77211302211302,0.1897242382652539,0.09342517016025689,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,1.0,0,81.69533169533169,0.15136274538032352,0.07519632950425148,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,1.0,1,84.0448402948403,0.16266232052364865,0.08113036333368374,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,1.0,2,82.57063882063882,0.1636296244753276,0.08152884560135695,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,1.7,0,81.25,0.12471144937551187,0.062254052179364056,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,1.7,1,83.53808353808354,0.13518587639486077,0.06811943077124082,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,1.7,2,80.20577395577395,0.12641054815468877,0.06334217652105369,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,3.0,0,81.75675675675676,0.10675269214527026,0.05397620596564733,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,3.0,1,82.8470515970516,0.1109145599790131,0.05613708453109631,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,3.0,2,79.54545454545455,0.10373816927723177,0.05226789830395809,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,5.0,0,79.68366093366093,0.0849505160345004,0.0430348481123264,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,5.0,1,80.497542997543,0.0902039008113227,0.04612953072557083,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,5.0,2,77.44164619164619,0.0883945376484439,0.04466299125208305,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,10.0,0,78.19410319410319,0.07045769188933251,0.03601692659923664,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,10.0,1,78.00982800982801,0.0702950610411548,0.03598457990357509,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,10.0,2,77.08845208845209,0.07098984886875512,0.0363790774001525,6.387922286987305,4.832033157348633,33.0
syn_fixed,synaptic,fixed,30.0,0,70.86916461916462,0.050754918803746926,0.026283046087393395,6.383615016937256,4.85123348236084,34.0
syn_fixed,synaptic,fixed,30.0,1,70.56203931203932,0.056253547937141685,0.02915264401011742,6.337711334228516,4.824681282043457,35.0
syn_fixed,synaptic,fixed,30.0,2,68.93427518427518,0.05395582834254709,0.027831141980221637,6.387922286987305,4.832033157348633,33.0
vanilla,none,vanilla,0.0,0,69.44103194103194,0.2812689185989967,0.13636892976669165,0.0,0.0,0.0
vanilla,none,vanilla,0.0,1,73.34152334152334,0.3146498675522113,0.15242018264073592,0.0,0.0,0.0
vanilla,none,vanilla,0.0,2,69.16461916461917,0.3098139636440418,0.1501635662638224,0.0,0.0,0.0
vanilla,none,vanilla,0.1,0,70.51597051597052,0.257852064777846,0.1250806963787629,0.0,0.0,0.0
vanilla,none,vanilla,0.1,1,71.03808353808354,0.27244372088708024,0.13305073976516724,0.0,0.0,0.0
vanilla,none,vanilla,0.1,2,72.94226044226045,0.28381362452651515,0.13778330844182235,0.0,0.0,0.0
vanilla,none,vanilla,0.2,0,67.13759213759214,0.24320099751740376,0.11884558745301686,0.0,0.0,0.0
vanilla,none,vanilla,0.2,1,72.71191646191646,0.2598059160012285,0.12690058407875207,0.0,0.0,0.0
vanilla,none,vanilla,0.2,2,70.88452088452088,0.2511118495981777,0.12263359759862606,0.0,0.0,0.0
vanilla,none,vanilla,0.3,0,67.5522113022113,0.23051371986332925,0.11225571884558751,0.0,0.0,0.0
vanilla,none,vanilla,0.3,1,74.32432432432432,0.23749622331848894,0.11626362829254223,0.0,0.0,0.0
vanilla,none,vanilla,0.3,2,65.52518427518427,0.22309696041922605,0.10974567383527756,0.0,0.0,0.0
vanilla,none,vanilla,0.5,0,63.55958230958231,0.18928248330006142,0.0926372638115516,0.0,0.0,0.0
vanilla,none,vanilla,0.5,1,71.62162162162163,0.2123076803721335,0.10483979089901997,0.0,0.0,0.0
vanilla,none,vanilla,0.5,2,72.6504914004914,0.2128962700271294,0.10484169308955853,0.0,0.0,0.0
vanilla,none,vanilla,1.0,0,64.78808353808354,0.1610549850276413,0.08008923983344665,0.0,0.0,0.0
vanilla,none,vanilla,1.0,1,69.65601965601965,0.1689179175624488,0.08448251365469052,0.0,0.0,0.0
vanilla,none,vanilla,1.0,2,59.152334152334156,0.1689252453803235,0.08469371698223628,0.0,0.0,0.0
vanilla,none,vanilla,1.7,0,52.93304668304668,0.15072050637285012,0.07331097957033378,0.0,0.0,0.0
